City_ID,City,Country,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed
98,Broager,DK,54.89,9.68,46.4,87,28,3.36
99,Butaritari,KI,3.07,172.79,82.92,81,4,10.56
100,Rassvet,RU,46.83,40.75,56.71,89,56,4.72
101,Kungurtug,RU,50.6,97.52,30.63,93,83,3.44
102,Georgetown,MY,5.41,100.34,80.6,94,20,4.21
103,Bethel,US,41.37,-73.41,60.01,22,1,9.17
104,Kysyl-syr,RU,63.9,122.76,36.05,83,100,5.06
105,Brooks,CA,50.58,-111.89,57.0,43,39,1.99
106,Namibe,AO,-15.2,12.15,77.74,69,0,2.01
107,Constitucion,CL,-35.33,-72.42,60.26,55,0,12.5
108,Severo-kurilsk,RU,50.68,156.12,34.2,90,100,35.63
109,Homer,US,59.64,-151.55,50.0,57,1,9.17
110,Tanete,ID,-3.94,119.78,76.12,93,95,4.9
111,Upata,VE,8.01,-62.4,84.07,59,74,8.75
112,Kristiansund,NO,63.11,7.73,42.8,87,100,39.15
113,Dingle,PH,11.0,122.67,80.06,82,4,3.11
114,Loukhi,RU,66.08,33.04,33.48,93,12,5.7
115,San quintin,MX,30.48,-115.95,74.44,53,0,14.99
116,Vardo,NO,70.37,31.11,39.2,69,75,5.82
117,East stroudsburg,US,41.0,-75.18,59.0,20,97,3.04
118,Tamsweg,AT,47.13,13.81,46.0,92,97,1.99
119,Nishihara,JP,26.18,127.76,75.2,94,90,25.28
120,Kloulklubed,PW,7.04,134.26,78.8,88,75,6.93
121,Honiara,SB,-9.43,159.95,78.8,83,20,0.16
122,Arraial do cabo,BR,-22.97,-42.03,75.2,83,76,5.82
123,Abnub,EG,27.27,31.15,68.0,42,0,16.11
124,Lata,PT,40.16,-8.33,62.01,86,0,1.16
125,Maragogi,BR,-9.01,-35.22,79.18,83,15,9.31
126,Bukachacha,RU,52.98,116.92,43.65,56,100,1.83
127,Lalibela,ET,12.03,39.03,64.31,64,88,1.05
128,Severo-yeniseyskiy,RU,60.37,93.04,32.54,97,98,7.54
129,Faya,SA,18.39,42.45,66.2,88,8,1.41
130,Qinzhou,CN,21.95,108.62,78.1,84,84,9.04
131,Kigoma,TZ,-4.88,29.63,71.6,94,20,3.83
132,Jumla,NP,29.27,82.18,46.47,65,100,1.36
133,Sao miguel do araguaia,BR,-13.28,-50.16,76.44,77,56,3.02
134,Mahibadhoo,MV,3.78,72.97,83.44,81,96,13.27
135,Blagoyevo,RU,63.37,47.92,41.49,94,92,4.36
136,Tuxpan,MX,19.55,-103.4,84.2,45,40,11.41
137,Vestmannaeyjar,IS,63.44,-20.27,44.47,87,37,10.22
138,Pangnirtung,CA,66.15,-65.71,14.0,72,5,5.82
139,Thinadhoo,MV,0.53,72.93,84.2,76,90,13.51
140,Maloy,NO,61.94,5.11,45.0,87,100,20.8
141,Pangody,RU,65.85,74.49,33.48,98,100,5.32
142,Jiaocheng,CN,24.68,116.14,75.69,86,33,2.04
143,Pevek,RU,69.7,170.31,17.35,89,30,1.66
144,Kahului,US,20.89,-156.47,84.2,45,40,23.04
145,Nizhniy tsasuchey,RU,50.52,115.13,51.31,44,98,13.71
146,San patricio,MX,19.22,-104.7,82.4,74,20,11.41
147,Lokosovo,RU,61.13,74.82,43.86,90,98,5.55
148,Noumea,NC,-22.28,166.46,73.0,82,100,3.36
149,Ukhta,RU,63.57,53.68,43.79,95,98,2.68
150,San policarpo,PH,12.18,125.51,82.45,82,91,6.58
151,Karratha,AU,-20.74,116.85,68.22,65,74,6.17
152,Naifaru,MV,5.44,73.37,84.94,79,95,15.14
153,Victoria,HK,22.29,114.16,82.0,78,100,3.0
154,Solginskiy,RU,61.05,41.34,48.61,94,100,9.06
155,Banganapalle,IN,15.32,78.23,90.52,45,96,10.63
156,Mae sai,TH,20.43,99.88,75.2,94,20,1.12
